Head Début : 2019/04/28 00:47:26 , Temps d'exécution : 36224 secondes , Variation de pop_size entre 10 et 100 avec un pas de 1, Variation de nmb_gens de 0 à 100
96.2618,97.1217,97.2598,97.2798,97.3706,97.333,97.3873,97.382,97.3352,97.3483
102.9861,97.6151,97.4849,97.2764,97.1175,97.3846,97.3308,97.342,97.3665,97.3437
97.1254,97.3224,97.3373,97.3228,97.3752,97.2777,97.3726,97.3314,97.3387,97.3661
96.8951,97.7146,97.4535,97.2936,97.4111,97.3865,97.2295,97.3472,97.3049,97.2954
94.3154,97.1121,97.2945,97.3852,97.3574,97.3199,97.288,97.3671,97.2884,97.3194
94.5242,97.3428,97.2327,97.3387,97.28,97.3469,97.2928,97.3138,97.2953,97.3602
85.8507,97.3165,97.277,97.3281,97.2482,97.3372,97.278,97.3746,97.3195,97.3428
96.9069,96.7142,97.3373,97.4571,97.3299,97.3534,97.346,97.3571,97.343,97.3562
108.5455,96.8491,97.4386,97.3687,97.2451,97.1952,97.3723,97.352,97.3233,97.3598
99.0831,97.5588,97.5845,97.447,97.324,97.3804,97.3944,97.3512,97.2891,97.3479
103.9568,97.5816,97.2194,97.3361,97.3161,97.2951,97.3534,97.4209,97.3303,97.3235
91.8144,96.9745,97.0797,97.3196,97.374,97.4567,97.3281,97.3403,97.3457,97.3829
90.5326,97.1964,97.3307,97.4785,97.4392,97.4217,97.3502,97.3234,97.3013,97.3409
97.2852,97.4316,97.1585,97.3568,97.4094,97.3911,97.4119,97.4081,97.2861,97.3494
102.09,97.1704,97.7651,97.357,97.3142,97.2956,97.3457,97.3004,97.3069,97.3115
96.1045,97.5678,97.5105,97.2226,97.397,97.2608,97.2615,97.2425,97.3536,97.2896
96.6765,97.7248,96.7419,97.4052,97.346,97.3479,97.3281,97.31,97.2972,97.3101
98.0376,97.1795,97.24,97.4151,97.3671,97.3625,97.4592,97.3328,97.3399,97.3743
104.1836,97.2963,97.2511,97.26,97.3041,97.3757,97.3445,97.3565,97.3271,97.3397
91.2112,97.7361,96.9973,97.2832,97.4541,97.2957,97.3269,97.4025,97.3362,97.3356
97.7002,97.4624,97.2237,97.3705,97.3689,97.3698,97.292,97.3409,97.3017,97.3511
99.6491,97.5921,97.2592,97.3137,97.198,97.3353,97.4468,97.335,97.3433,97.3716
